SMILES,pchembl_value
CO[C@H]1CC[C@H](C(=O)Nc2cc3cc(-c4cnn(C)c4CN4CCCCC4)ccc3cn2)CC1,8.7
Cn1ncc(-c2ccc3cnc(NC(=O)c4cccc(CN5CCCC5)c4)cc3c2)c1CN1CCCCC1,8.7
Cn1ncc(-c2ccc3cnc(NC(=O)c4ccnc(N5CCOCC5)c4)cc3c2)c1CN1CCOCC1,8.7
CNC(=O)c1ccc(C(=O)Nc2cc3cc(-c4cn(C)nn4)ccc3cn2)cn1,8.7
CN1CCc2cc(C(=O)Nc3cc4cc(-c5cn(C)nn5)ccc4cn3)ccc2C1,8.7
CC(C)n1cc(C(=O)Nc2cc3cc(-c4cncn4C)ccc3cn2)cn1,8.7
NC1CN(c2cc(C(=O)Nc3cc4cc(-c5cnco5)ccc4cn3)ccn2)C1,8.7
Cc1nnc(-c2ccc3cnc(NC(=O)c4ccnc(N(C)C5CCN(C)CC5)c4)cc3c2)s1,8.7
O=C(Nc1cc2cc(-c3cncc(NCC4(F)CNC4)n3)ncc2cn1)C1CC1,8.7
CN1CCCCN(C)c2nccc3[nH]c(nc23)-c2c[nH]c3ccc(cc23)-c2cncc(c2)C1,8.7
Nc1cc(-c2ccn3nccc3n2)cc(N)n1,8.7
CCCCn1c(C)nc2ccc(-c3cc(N)nc(N)c3)nc21,8.7
Cc1nc2ccc(-c3cc(N)nc(N)c3)nc2n1CCOc1cccc(Br)n1,8.7
O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2c(c1)OCO2,8.7
O=C1NC(NC23CC4CC(CC(C4)C2)C3)=N/C1=C\c1ccc2[nH]cnc2c1,8.7
Cn1cc2cc(/C=C3\N=C(NC45CC6CC(CC(C6)C4)C5)NC3=O)ccc2n1,8.7
C[C@@H]1[C@H]2C[C@@H](C[C@H]1NC1=N/C(=C\c3ccc4ncsc4c3)C(=O)N1)C2(C)C,8.7
CC1(C)C2CCC1(C)[C@H](NC1=N/C(=C\c3ccc4ncsc4c3)C(=O)N1)C2,8.7
O=C1NC(NC2CCCCC(F)(F)C2)=N/C1=C\c1ccc2ncsc2c1,8.7
CCOc1ccccc1CNc1nc(C)nc2[nH]cc(-c3ccnc(N)c3)c12,8.68
O=C(O)c1nc2ccccc2c2[nH]c3c(I)cccc3c12,8.64
